Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Price,Change,Volume
FCNCP,,,5930000.0,,,0.3062,,0.003,0.63,28330.0,26.59,0.0126,8625.0
FCRD,120440000.0,30110000.0,,0.0707,0.0,0.4752,,,0.86,65720.0,4.0,0.0,51696.0
FCVT,,,,,,,,,,53190.0,51.79,-0.023799999999999998,38782.0
FDIV,,,,,,,,,,30990.0,48.1,-0.0019,1597.0
FDMT,1110000000.0,27320000.0,21820000.0,0.077,0.0,0.607,,0.0121,1.21,218310.0,40.51,-0.0508,181005.0
FDNI,,,,,,,,,,38120.0,49.8,-0.0235,12289.0
FDT,,,,,,,,,,29170.0,58.46,-0.0029,25632.0
FDUS,380000000.0,24440000.0,,0.014199999999999999,0.0,0.2531,,,1.38,144130.0,15.55,0.0058,185898.0
FEIM,110470000.0,9170000.0,7240000.0,0.002,1.8798,0.644,-0.0059,0.0007000000000000001,0.34,15080.0,11.73,-0.0103,4665.0
FELE,3500000000.0,46200000.0,38670000.0,0.006999999999999999,-0.0895,0.813,0.0085,0.0172,4.5,148280.0,75.34,0.0031,115012.0
FEM,,,,,,,,,,190560.0,26.5,0.0008,176111.0
FEMB,,,,,,,,,,99790.0,35.84,-0.0055000000000000005,86590.0
FEMS,,,,,,,,,,39070.0,44.14,0.002,24067.0
FENC,206360000.0,25600000.0,21470000.0,0.16829999999999998,0.0,0.57,0.0409,0.0425,10.7,85190.0,7.66,0.045,51568.0
FEP,,,,,,,,,,76510.0,39.54,-0.008,56431.0
FEUZ,,,,,,,,,,1640.0,43.09,-0.0044,1257.0
FEX,,,,,,,,,,36820.0,77.32,-0.0148,45989.0
FEYE,4450000000.0,224810000.0,224460000.0,0.022000000000000002,-0.0542,0.945,0.17079999999999998,0.0816,1.91,9580000.0,19.35,-0.019799999999999998,4028575.0
FFBC,2290000000.0,97250000.0,95940000.0,0.01,-0.0621,0.752,-0.0042,0.0199,4.55,419090.0,22.71,0.0018,847891.0
FFBW,85420000.0,7120000.0,1860000.0,0.01,0.0067,0.174,0.0216,0.0028000000000000004,0.31,16690.0,11.24,0.0009,20962.0
FFHL,41400000.0,3270000.0,1130000.0,0.655,0.0,0.092,-0.063,0.0101,0.16,70140.0,11.13,0.06,36720.0
